"modname","scale500","scale1000","scale2500","K","AICc","Delta_AICc","AICcWt","variable"
"mod1b5","L","0","0",35,104306.817513916,0,0.63,"popd"
"mod1b4","Q","0","0",36,104308.477962077,1.66,0.27,"popd"
"mod1b3","L","L","0",36,104312.30972932,5.49,0.04,"popd"
"mod1b2","L","Q","0",37,104313.059343852,6.24,0.03,"popd"
"mod1b1","L","L","L",37,104313.869291266,7.05,0.02,"popd"
"baseline","L","L","Q",38,104315.420648322,8.6,0.01,"popd"
"mod1b6","0","0","0",34,104338.8573835,32.04,0,"popd"
"mod1a2","L","Q","0",37,104292.695488033,0,0.99,"natdiv"
"mod1a4","Q","0","0",36,104302.995819615,10.3,0.01,"natdiv"
"mod1a3","L","L","0",36,104311.752185958,19.06,0,"natdiv"
"mod1a5","L","0","0",35,104312.498580712,19.8,0,"natdiv"
"mod1a1","L","L","L",37,104313.759384743,21.06,0,"natdiv"
"baseline","L","L","Q",38,104315.420648322,22.73,0,"natdiv"
"mod1a6","0","0","0",34,104390.399360591,97.7,0,"natdiv"
"mod1c5","L","0","0",35,104310.760621696,0,0.36,"poc"
"mod1c4","Q","0","0",36,104311.715620843,0.95,0.22,"poc"
"mod1c3","L","L","0",36,104312.565720438,1.81,0.15,"poc"
"mod1c1","L","L","L",37,104313.506760941,2.75,0.09,"poc"
"mod1c2","L","Q","0",37,104313.763667197,3,0.08,"poc"
"mod1c6","0","0","0",34,104314.138213596,3.38,0.07,"poc"
"baseline","L","L","Q",38,104315.420648322,4.66,0.03,"poc"
"mod1d4","Q","0","0",36,104310.59807614,0,0.4,"income"
"mod1d2","L","Q","0",37,104311.074749583,0.48,0.32,"income"
"mod1d6","0","0","0",34,104312.840745968,2.24,0.13,"income"
"mod1d5","L","0","0",35,104314.358211906,3.76,0.06,"income"
"baseline","L","L","Q",38,104315.420648322,4.82,0.04,"income"
"mod1d3","L","L","0",36,104315.570011967,4.97,0.03,"income"
"mod1d1","L","L","L",37,104317.142097279,6.54,0.02,"income"
"mod1e6","0","0","0",34,104309.393831971,0,0.44,"yrbuilt"
"mod1e5","L","0","0",35,104310.498209565,1.1,0.25,"yrbuilt"
"mod1e4","Q","0","0",36,104312.409941764,3.02,0.1,"yrbuilt"
"mod1e3","L","L","0",36,104312.443687805,3.05,0.1,"yrbuilt"
"mod1e1","L","L","L",37,104313.417390206,4.02,0.06,"yrbuilt"
"mod1e2","L","Q","0",37,104314.350013569,4.96,0.04,"yrbuilt"
"baseline","L","L","Q",38,104315.420648322,6.03,0.02,"yrbuilt"
